Word,Definition
succor,"consolation,help in a difficult situation,ministration,ministration,,abandon,abandon,aid,aid,assist,relieve,relieve,assistance,The Red Cross,The Red Cross,relief,relief,support,support,assistance in time of difficulty,relief,assistance in time of difficulty
They each felt that as Israel�s one true friend in the world, we should not give succor to Israel�s enemies.Time (Oct 14, 2015)
noun/verb. Succor is a helping hand in a time of need, relief when the going gets tough. Succor can also be used as a verb, as in, ""After Bob fell overboard, he was saved � succored by a life preserver."""
asunder,"into parts or pieces,apart,apart,into parts or pieces,into parts or pieces,paper scraps,into parts or pieces,apart,apart,into parts or pieces,paper scraps,into parts or pieces,nto parts or pieces
On one hand, it tears the state of California asunder.New York Times (May 28, 2015)
adverb. if you�ve torn your ex's love letter asunder, you�ve forcefully ripped it into separate pieces. Most of us know it only from marriage ceremonies: �What God has joined together let no man put asunder.� In most cases you can use its more common synonym �apart� and convey the same meaning, unless you want to express a particularly violent or forceful ripping."
litany,"a prayer led by clergy with responses from the congregation,list,any long and tedious address or recital,recitation,recitation,complaints,any long and tedious address or recital,a prayer led by clergy with responses from the congregation,a prayer led by clergy with responses from the congregation,a prayer led by clergy with responses from the congregation,list,any long and tedious address or recital,complaints,any long and tedious address or recital,a prayer led by clergy with responses from the congregation,a prayer led by clergy with responses from the congregation
He launched into a litany of potential problems.The Guardian (Oct 25, 2015)
noun. If you've got a whole slew of complaints to get off your chest or requests to make, you've got yourself a litany � a long, drawn-out list.
From Greek origins meaning ""entreaty"" or ""supplication,"" litany often refers to certain long responsive petitions offered to God, particularly by practitioners of the Christian faith. For some reason, litany is usually used in reference to negative things � such as a litany of complaints or a litany of injuries."
sanguine,"positive,,confidently optimistic and cheerful,cheerful,optimistic,optimistic,confidently optimistic and cheerful,confident,confidently optimistic and cheerful,inclined to a healthy reddish color,ruddy,ruddy,positive,an optimistic person,confidently optimistic and cheerful
I can readily imagine that to some sanguine temperaments it would be altogether intolerable.Slate (Oct 22, 2015)
adjective. In medieval medicine it described someone whose ruddy complexion was a sign of an optimistic outlook. That was back when people thought that ""bodily humors"" like blood were responsible for your attitudes. Now that we no longer believe in humors, sanguine has settled down as a fancy way to say someone is cheerfully confident. Experts are frequently described as feeling sanguine about a political or economic situation � or not sanguine, if they think we're going to hell in a handbasket."
prudent,"judicious,sensible,wise,A woman who saves money in case of an unexpected expense.,A woman who saves money in case of an unexpected expense.,completely wanting or lacking,careful and sensible,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking, ease,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,completely wanting or lacking,,careless,,careless,careful and sensible,judicious,responsible,responsible,unwise,unwise,foolish,foolish,rash,rash,careful and sensible,sensible,sensible,marked by sound judgment
Providers need to be rewarded for making decisions that are not only clinically sound but also economically prudent adjective. Describe an action as prudent if it is the wise thing to do under the existing circumstances. If you're getting in trouble, it is probably prudent to keep your mouth closed and just listen.
If you show good and careful judgment when handling practical matters, you can be described as prudent. Similarly, a wise and well-thought-through decision or action can be called prudent."
hallowed,"holy,sacred,religious groups,worthy of religious veneration,comical in an odd or whimsical manner,holy,sacred,sacred,religious groups,comical in an odd or whimsical manner,holy,worthy of religious veneration
The number 58 used to be hallowed at Miami, since it represented the Hurricanes� record home winning streak.Washington Times (Oct 26, 2015)
adjective. The word hallowed often has a religious connotation, but it can also be used playfully to convey a sense of reverence about something that isn�t religious in nature but that nonetheless inspires worship. A football fan, for example, may talk about the hallowed tradition of tailgating on a game day Saturday, or an avid shopper may describe the hallowed grounds of the Macy�s shoe department."
sundry,"mixed,miscellaneous,miscellaneous,motley,consisting of a haphazard assortment of different kinds,various,assorted,various,assorted,assorted,mixed,consisting of a haphazard assortment of different kinds,motley,miscellaneous,consisting of a haphazard assortment of different kinds
It comes on the heels of years of Angry Birds fever, hype, merchandise, and various and sundry imitators.Forbes (Jul 31, 2015)
adjective. The word is typically used as an adjective to describe a collection of various different items found in one place, as in � ""I discovered records, perfume bottles, and sundry items at my neighbor's yard sale."" The phrase ""all and sundry"" refers collectively to a group of people, as in, ""I invited all and sundry of my relatives to my tea party."""
poach,"an egg,an egg,an endangered elephant,hunt illegally,cook in a simmering liquid,cook in a simmering liquid,cook in a simmering liquid,cook in a simmering liquid,hunt illegally,hunt illegally
Africa�s elephant and rhino populations are being poached for their ivory and horns to meet high demand in Asian economies verb. Hunters are only permitted to hunt certain animals during specific times of the year, and only in certain locations. If a hunter shoots a rabbit on another person's private land, you can say she poaches it."
deference,"a tendency to yield to the will of others,respect,courteous regard for people's feelings,respectfulness,bowing,bowing,disrespect,a disposition or tendency to yield to the will of others,regard,courteous regard for people's feelings,esteem,a courteous expression of esteem or regard,courteous regard for people's feelings
Sunday hunting had been prohibited largely in deference to the Christian Sabbath.Washington Times (Oct 3, 2015)
noun. Sure you wear ripped jeans to school every day, but you don't wear them to your grandmother's house out of deference to her. When you show deference to someone, you make a gesture of respect."
frugality,"thrift,thriftiness,eating leftovers the next day,wastefulness,wastefulness,thrift,economy,economy,prudence in avoiding waste,thriftiness,prudence in avoiding waste,thriftiness,eating leftovers the next day,eating leftovers the next day,prudence in avoiding waste
It depends chiefly on two words, industry and frugality: that is, waste neither time nor money, but make the best use of both.US News (Oct 20, 2015)
noun. Some people use this word interchangeably with cheapness, but cheapness is an unwillingness to spend, while frugality is an unwillingness to waste. People who show frugality often find ways of making things useful that others do not. Even after the Depression ended, those who lived through it maintained their frugality, using old t-shirts for rags and washed-out cottage cheese containers instead of Tupperware."
saunter,"stroll,stroll,promenade,stroll,a careless leisurely gait,a leisurely walk,a leisurely walk,walk leisurely and with no apparent aim,stroll,a careless leisurely gait,walk leisurely and with no apparent aim
From the other direction, a woman with long blond hair pouring out of a pink baseball cap saunters to the reception desk.The Guardian (Oct 10, 2015)
verb. To saunter is to stroll at a leisurely pace. The next time someone accuses you of dragging your feet and asks you to speed it up, calmly tell them that you�re perfecting your saunter."
dissolution,"disintegration,separation into component parts,the termination or disintegration of a relationship,the termination or disintegration of a relationship,disintegration,separation into component parts,the termination or disintegration of a relationship,breakup,breakup,disintegration,separation into component parts,the termination or disintegration of a relationship,the termination or disintegration of a relationship,separation into component parts,the termination or disintegration of a relationship,separation into component parts
The Napoleonic period and the dissolution of religious institutions brought a vast number of illuminated manuscripts to the market.New York Times (Sep 8, 2016)
noun. Dissolution comes from the Latin word dissolutio, meaning ""a dissolving of something."" Dissolution looks very similar to ""dissolve,"" so to help you remember the meaning, think about what happens if you put paper in water � it breaks apart. A dissolution of a marriage is the same thing as divorce."
